国家,VAT/GST/销售税率,Notes
🇺🇸美国,6.0%,VAT，State/local sales tax varies by jurisdiction (~0%–10%+).
🇨🇦加拿大,5.0%,Some provinces use HST 13–15%; others GST 5% + PST/QST.
🇩🇪德国,19.0%,"VAT 19%,Reduced 7% for some goods/services."
🇬🇧英国,20.0%,"VAT 20%,Reduced 5% for some categories."
🇫🇷法国,20.0%,"VAT 20%,Reduced 10%/5.5%/2.1% for certain categories."
🇸🇬新加坡,9.0%,GST 9%，Standard rate from 2024-01-01.
🇲🇾马来西亚,10.0%,"SST (Sales 5%/10%, Services 8%)，Not a VAT system; rates vary by goods/services."
🇵🇭菲律宾,12.0%,VAT 12%，Standard rate; exemptions/zero-rating for specific cases.
🇻🇳越南,10.0%,"VAT 10%,Many goods temporarily at 8% (currently extended)."
🇹🇭泰国,7.0%,"VAT 7%, Temporarily reduced rate; periodically renewed."
🇮🇩印度尼西亚,12.0%,VAT 12%
🇮🇳印度,18.0%,"GST 18%, other slabs like 5% apply to some goods."
🇯🇵日本,10.0%,"Consumption Tax 10%,Reduced 8% for food and some items."
🇰🇷韩国,10.0%,Standard rate.VAT10%
🇦🇺澳大利亚,10.0%,Standard rate. GST 10%
🇸🇦沙特阿拉伯,15.0%,Standard rate.VAT 15%
🇦🇪阿联酋,5.0%,Standard rate. VAT 5%
🇲🇽墨西哥,16.0%,"IVA 16% ,Border-zone incentive 8% in defined areas."
🇧🇷巴西,20.0%,Typical ICMS 17–20% + IPI/PIS/COFINS; reform to CBS/IBS in transition.
